row_type,username,email,role,dob,division,roll_no,course,department,subjects,experience,question_id,rating,teacher_email,comment,subject,description,status
USER,tushar_verma93,tushar.verma80@college.edu,student,2003-02-05,MECH-A,EL034,B.Tech Electronics,,,,,,,,,,
USER,komal_pandey10,komalpandey55@college.edu,student,2002-01-14,IT-A,IT020,B.Tech IT,,,,,,,,,,
USER,sonali_kaur68,sonali_kaur64@college.edu,student,2003-04-23,EXTC-A,EX042,B.Tech EXTC,,,,,,,,,,
USER,payal_mishra54,payal_mishra7@college.edu,student,2004-03-11,IT-A,EL093,B.Tech Electronics,,,,,,,,,,
USER,richa_joshi97,richajoshi89@college.edu,student,2003-09-01,IT-B,IT133,B.Tech IT,,,,,,,,,,
USER,vikram_ghosh95,vikram.ghosh45@college.edu,student,2002-05-19,CS-A,CS095,B.Tech CS,,,,,,,,,,
USER,kunal_chatterjee43,kunalchatterjee64@college.edu,student,2003-04-25,IT-A,EL159,B.Tech Electronics,,,,,,,,,,
USER,prateek_dubey64,prateek.dubey66@college.edu,student,2004-10-25,CIVIL-A,CI168,B.Tech Civil,,,,,,,,,,
USER,pooja_chauhan76,pooja_chauhan89@college.edu,student,2004-11-07,MECH-B,ME004,B.Tech Mechanical,,,,,,,,,,
USER,divya_bose48,divyabose21@college.edu,student,2001-01-11,MECH-B,EL073,B.Tech Electronics,,,,,,,,,,
USER,myra_yadav49,myra.yadav87@college.edu,student,2001-08-17,CIVIL-A,EL174,B.Tech Electronics,,,,,,,,,,
USER,simran_iyer7,simran.iyer87@college.edu,student,2002-01-24,IT-B,IT193,B.Tech IT,,,,,,,,,,
USER,sahil_mishra60,sahil.mishra9@college.edu,student,2005-05-01,EXTC-A,EX076,B.Tech EXTC,,,,,,,,,,
USER,madhuri_singh74,madhuri_singh30@college.edu,student,2005-08-30,CIVIL-A,CI025,B.Tech Civil,,,,,,,,,,
USER,kriti_thakur21,kritithakur94@college.edu,student,2000-01-17,IT-B,IT076,B.Tech IT,,,,,,,,,,
USER,rupal_tiwari76,rupal.tiwari70@college.edu,student,2000-03-17,MECH-B,EL060,B.Tech Electronics,,,,,,,,,,
USER,jyoti_mehta14,jyoti.mehta12@college.edu,student,2000-01-24,IT-A,EL066,B.Tech Electronics,,,,,,,,,,
USER,payal_dutta23,payaldutta12@college.edu,student,2000-07-06,CIVIL-A,CI015,B.Tech Civil,,,,,,,,,,
USER,aanya_mishra60,aanyamishra75@college.edu,student,2002-02-05,CS-A,CS131,B.Tech CS,,,,,,,,,,
USER,divya_joshi55,divyajoshi52@college.edu,student,2002-05-22,CIVIL-A,CI181,B.Tech Civil,,,,,,,,,,
USER,simran_pawar66,simran.pawar73@college.edu,student,2001-04-15,EXTC-A,EX008,B.Tech EXTC,,,,,,,,,,
USER,sahil_dubey93,sahil.dubey43@college.edu,student,2005-06-24,EXTC-A,EX108,B.Tech EXTC,,,,,,,,,,
USER,aditya_kulkarni11,aditya.kulkarni78@college.edu,student,2005-11-13,CIVIL-A,CI121,B.Tech Civil,,,,,,,,,,
USER,sumit_yadav70,sumit_yadav45@college.edu,student,2002-04-25,MECH-A,ME024,B.Tech Mechanical,,,,,,,,,,
USER,mitali_bhat57,mitali_bhat82@college.edu,student,2004-06-07,CIVIL-A,CI045,B.Tech Civil,,,,,,,,,,
USER,parth_jain4,parthjain79@college.edu,student,2003-12-23,EXTC-B,EL142,B.Tech Electronics,,,,,,,,,,
USER,parth_thakur97,parth.thakur3@college.edu,student,2003-07-11,EXTC-B,EL068,B.Tech Electronics,,,,,,,,,,
USER,vikram_shinde20,vikram_shinde56@college.edu,student,2001-10-10,CS-A,EL160,B.Tech Electronics,,,,,,,,,,
USER,shalini_jain25,shalini_jain6@college.edu,student,2000-10-22,CIVIL-A,CI087,B.Tech Civil,,,,,,,,,,
USER,rohan_joshi57,rohan.joshi15@college.edu,student,2003-06-08,EXTC-B,EL135,B.Tech Electronics,,,,,,,,,,
USER,vidhi_rao22,vidhi_rao46@college.edu,student,2003-10-14,IT-B,IT133,B.Tech IT,,,,,,,,,,
USER,gaurav_thakur18,gaurav_thakur83@college.edu,student,2001-03-05,EXTC-B,EL157,B.Tech Electronics,,,,,,,,,,
USER,sahil_arora78,sahil.arora52@college.edu,student,2004-08-05,MECH-B,EL188,B.Tech Electronics,,,,,,,,,,
USER,sneha_more33,sneha.more94@college.edu,student,2000-07-03,MECH-B,ME037,B.Tech Mechanical,,,,,,,,,,
USER,prateek_sharma70,prateek_sharma60@college.edu,student,2005-11-21,CIVIL-A,CI155,B.Tech Civil,,,,,,,,,,
USER,mohit_srivastava32,mohitsrivastava88@college.edu,student,2004-10-30,MECH-A,ME103,B.Tech Mechanical,,,,,,,,,,
USER,nandini_dutta76,nandini.dutta20@college.edu,student,2003-01-02,CS-B,CS022,B.Tech CS,,,,,,,,,,
USER,megha_jadhav34,meghajadhav63@college.edu,student,2004-05-16,IT-A,IT176,B.Tech IT,,,,,,,,,,
USER,siddharth_pandey77,siddharth.pandey44@college.edu,student,2003-08-31,MECH-A,ME010,B.Tech Mechanical,,,,,,,,,,
USER,sai_saxena94,sai.saxena41@college.edu,student,2005-11-26,CS-A,CS080,B.Tech CS,,,,,,,,,,
USER,komal_sharma81,komal_sharma90@college.edu,student,2002-10-31,EXTC-A,EX141,B.Tech EXTC,,,,,,,,,,
USER,preeti_kumar37,preeti.kumar62@college.edu,student,2004-05-23,MECH-A,ME058,B.Tech Mechanical,,,,,,,,,,
USER,richa_mishra13,richa.mishra2@college.edu,student,2000-02-16,IT-B,IT010,B.Tech IT,,,,,,,,,,
USER,richa_arora23,richaarora66@college.edu,student,2005-06-03,MECH-B,ME083,B.Tech Mechanical,,,,,,,,,,
USER,aishwarya_gill82,aishwarya.gill52@college.edu,student,2003-03-31,EXTC-B,EX120,B.Tech EXTC,,,,,,,,,,
USER,megha_kapoor51,meghakapoor51@college.edu,student,2000-07-02,CIVIL-A,CI067,B.Tech Civil,,,,,,,,,,
USER,meera_pillai47,meera_pillai75@college.edu,student,2000-05-26,CS-B,EL100,B.Tech Electronics,,,,,,,,,,
USER,simran_jain10,simran.jain44@college.edu,student,2003-03-20,MECH-B,ME098,B.Tech Mechanical,,,,,,,,,,
USER,neeraj_jadhav15,neerajjadhav15@college.edu,student,2002-02-07,CS-A,CS006,B.Tech CS,,,,,,,,,,
USER,aadhya_srivastava37,aadhya_srivastava72@college.edu,student,2003-07-16,CS-A,EL029,B.Tech Electronics,,,,,,,,,,
USER,mayank_reddy87,mayankreddy5@college.edu,student,2001-09-02,IT-B,IT010,B.Tech IT,,,,,,,,,,
USER,shalini_shinde36,shalini.shinde73@college.edu,student,2005-07-01,CIVIL-A,CI105,B.Tech Civil,,,,,,,,,,
USER,vijay_pawar23,vijay.pawar37@college.edu,student,2004-10-11,CS-B,CS069,B.Tech CS,,,,,,,,,,
USER,rishi_malhotra20,rishi.malhotra8@college.edu,student,2004-02-12,CIVIL-A,CI194,B.Tech Civil,,,,,,,,,,
USER,mitali_menon65,mitali.menon40@college.edu,student,2003-10-14,CIVIL-A,EL058,B.Tech Electronics,,,,,,,,,,
USER,rahul_saxena29,rahulsaxena55@college.edu,student,2002-08-28,MECH-B,EL026,B.Tech Electronics,,,,,,,,,,
USER,yash_menon87,yash.menon8@college.edu,student,2000-06-26,CIVIL-A,CI052,B.Tech Civil,,,,,,,,,,
USER,tanvi_banerjee59,tanvi_banerjee96@college.edu,student,2002-05-15,IT-A,IT080,B.Tech IT,,,,,,,,,,
USER,kavya_singh80,kavya_singh23@college.edu,student,2001-07-25,EXTC-A,EX069,B.Tech EXTC,,,,,,,,,,
USER,preeti_bose50,preeti.bose64@college.edu,student,2003-12-10,CS-B,CS127,B.Tech CS,,,,,,,,,,
USER,vikram_bajaj1,vikram_bajaj49@college.edu,student,2000-05-16,EXTC-A,EX116,B.Tech EXTC,,,,,,,,,,
USER,diya_patil42,diyapatil98@college.edu,student,2001-01-17,MECH-A,EL127,B.Tech Electronics,,,,,,,,,,
USER,madhuri_bajaj54,madhuribajaj27@college.edu,student,2002-10-19,CS-B,CS027,B.Tech CS,,,,,,,,,,
USER,aadhya_verma53,aadhyaverma4@college.edu,student,2004-06-04,IT-A,IT174,B.Tech IT,,,,,,,,,,
USER,myra_iyer72,myraiyer49@college.edu,student,2000-02-20,EXTC-B,EX043,B.Tech EXTC,,,,,,,,,,
USER,parth_bose67,parth.bose65@college.edu,student,2003-04-10,EXTC-B,EX029,B.Tech EXTC,,,,,,,,,,
USER,aditya_thakur98,aditya.thakur3@college.edu,student,2003-06-27,EXTC-B,EX141,B.Tech EXTC,,,,,,,,,,
USER,sakshi_malhotra79,sakshi_malhotra33@college.edu,student,2003-10-05,IT-A,IT047,B.Tech IT,,,,,,,,,,
USER,pranav_arora15,pranavarora14@college.edu,student,2001-10-23,CS-B,CS076,B.Tech CS,,,,,,,,,,
USER,jyoti_das61,jyoti.das51@college.edu,student,2000-12-04,IT-B,IT157,B.Tech IT,,,,,,,,,,
USER,arnav_mishra95,arnavmishra10@college.edu,student,2002-11-06,MECH-B,ME075,B.Tech Mechanical,,,,,,,,,,
USER,vidhi_rao67,vidhi_rao24@college.edu,student,2005-05-14,MECH-B,EL164,B.Tech Electronics,,,,,,,,,,
USER,shubham_kapoor56,shubhamkapoor6@college.edu,student,2002-06-07,MECH-B,ME060,B.Tech Mechanical,,,,,,,,,,
USER,simran_das41,simran_das83@college.edu,student,2005-07-09,IT-B,IT049,B.Tech IT,,,,,,,,,,
USER,diya_das61,diyadas16@college.edu,student,2003-04-06,CS-A,CS125,B.Tech CS,,,,,,,,,,
USER,tanmay_khanna78,tanmay.khanna91@college.edu,student,2003-03-27,EXTC-B,EX127,B.Tech EXTC,,,,,,,,,,
USER,nikhil_shinde7,nikhilshinde44@college.edu,student,2001-06-07,CIVIL-A,CI022,B.Tech Civil,,,,,,,,,,
USER,aditi_joshi55,aditi.joshi4@college.edu,student,2001-01-02,MECH-B,ME011,B.Tech Mechanical,,,,,,,,,,
USER,kavya_rao21,kavyarao31@college.edu,student,2000-05-20,EXTC-B,EX192,B.Tech EXTC,,,,,,,,,,
USER,nisha_ghosh1,nishaghosh46@college.edu,student,2004-09-15,CIVIL-A,CI067,B.Tech Civil,,,,,,,,,,
USER,rishi_more11,rishi.more98@college.edu,student,2000-12-26,EXTC-A,EL067,B.Tech Electronics,,,,,,,,,,
USER,aditi_joshi47,aditi.joshi17@college.edu,student,2002-02-08,EXTC-A,EX182,B.Tech EXTC,,,,,,,,,,
USER,raj_mukherjee28,rajmukherjee47@college.edu,student,2004-11-25,CS-B,CS041,B.Tech CS,,,,,,,,,,
USER,priya_das19,priyadas10@college.edu,student,2002-01-22,IT-B,IT102,B.Tech IT,,,,,,,,,,
USER,aanya_verma53,aanya_verma52@college.edu,student,2003-12-27,CIVIL-A,CI041,B.Tech Civil,,,,,,,,,,
USER,chirag_yadav3,chiragyadav6@college.edu,student,2000-10-25,IT-A,IT048,B.Tech IT,,,,,,,,,,
USER,kunal_iyer70,kunal_iyer30@college.edu,student,2000-06-05,MECH-A,ME196,B.Tech Mechanical,,,,,,,,,,
USER,sneha_kumar34,sneha.kumar49@college.edu,student,2002-01-28,EXTC-B,EX008,B.Tech EXTC,,,,,,,,,,
USER,chirag_gupta94,chirag.gupta22@college.edu,student,2004-01-08,IT-A,IT031,B.Tech IT,,,,,,,,,,
USER,nandini_das30,nandini.das24@college.edu,student,2002-12-13,MECH-A,ME185,B.Tech Mechanical,,,,,,,,,,
USER,isha_chatterjee76,isha_chatterjee82@college.edu,student,2000-03-10,MECH-B,ME037,B.Tech Mechanical,,,,,,,,,,
USER,mansi_srivastava11,mansi.srivastava71@college.edu,student,2003-06-26,MECH-A,ME013,B.Tech Mechanical,,,,,,,,,,
USER,karan_pawar16,karanpawar36@college.edu,student,2004-10-31,CIVIL-A,CI035,B.Tech Civil,,,,,,,,,,
USER,sonali_bajaj95,sonali.bajaj50@college.edu,student,2005-07-30,EXTC-A,EX118,B.Tech EXTC,,,,,,,,,,
USER,aditya_pawar13,aditya_pawar94@college.edu,student,2001-05-02,IT-A,EL088,B.Tech Electronics,,,,,,,,,,
USER,diya_chowdhury1,diyachowdhury25@college.edu,student,2002-04-07,MECH-B,ME023,B.Tech Mechanical,,,,,,,,,,
USER,ankita_khanna84,ankitakhanna44@college.edu,student,2000-04-02,MECH-B,ME081,B.Tech Mechanical,,,,,,,,,,
USER,varun_more19,varun_more31@college.edu,student,2000-04-08,IT-B,IT026,B.Tech IT,,,,,,,,,,
USER,manav_jain18,manav_jain24@college.edu,student,2000-02-04,CS-B,CS193,B.Tech CS,,,,,,,,,,
USER,payal_mukherjee53,payalmukherjee35@college.edu,student,2004-10-30,MECH-B,ME137,B.Tech Mechanical,,,,,,,,,,
USER,yash_chauhan33,yash_chauhan80@college.edu,student,2001-01-30,IT-B,IT072,B.Tech IT,,,,,,,,,,
USER,harshita_mishra97,harshita.mishra55@college.edu,student,2003-10-09,CIVIL-A,CI103,B.Tech Civil,,,,,,,,,,
USER,sonali_reddy53,sonali.reddy29@college.edu,student,2001-04-05,MECH-A,ME035,B.Tech Mechanical,,,,,,,,,,
USER,chirag_menon83,chiragmenon58@college.edu,student,2002-08-11,CIVIL-A,CI087,B.Tech Civil,,,,,,,,,,
USER,rishi_bose17,rishi.bose51@college.edu,student,2002-01-26,CIVIL-A,CI176,B.Tech Civil,,,,,,,,,,
USER,mayank_jain49,mayank.jain33@college.edu,student,2001-05-26,CIVIL-A,CI116,B.Tech Civil,,,,,,,,,,
USER,mohit_jain62,mohit.jain21@college.edu,student,2003-08-14,CS-B,CS137,B.Tech CS,,,,,,,,,,
USER,aditya_tiwari53,aditya.tiwari66@college.edu,student,2003-09-12,CS-B,EL139,B.Tech Electronics,,,,,,,,,,
USER,yash_kumar31,yash.kumar67@college.edu,student,2002-03-14,EXTC-B,EL149,B.Tech Electronics,,,,,,,,,,
USER,tanmay_joshi20,tanmay_joshi78@college.edu,student,2003-03-16,EXTC-B,EX115,B.Tech EXTC,,,,,,,,,,
USER,tanmay_reddy68,tanmay.reddy88@college.edu,student,2000-03-18,MECH-B,ME144,B.Tech Mechanical,,,,,,,,,,
USER,reyansh_dutta19,reyansh_dutta89@college.edu,student,2003-02-05,CS-A,CS178,B.Tech CS,,,,,,,,,,
USER,rohan_thakur88,rohan.thakur51@college.edu,student,2005-12-18,EXTC-A,EX063,B.Tech EXTC,,,,,,,,,,
USER,dhruv_kumar30,dhruv.kumar64@college.edu,student,2003-02-13,CS-B,CS174,B.Tech CS,,,,,,,,,,
USER,aarav_srivastava14,aarav.srivastava86@college.edu,student,2003-07-19,EXTC-A,EX172,B.Tech EXTC,,,,,,,,,,
USER,ankit_rao49,ankit_rao85@college.edu,student,2002-08-15,EXTC-B,EX155,B.Tech EXTC,,,,,,,,,,
USER,ajay_jadhav15,ajayjadhav73@college.edu,student,2002-04-05,CIVIL-A,CI137,B.Tech Civil,,,,,,,,,,
USER,riya_gupta86,riya.gupta19@college.edu,student,2000-06-25,MECH-A,ME134,B.Tech Mechanical,,,,,,,,,,
USER,parul_kaur19,parul.kaur26@college.edu,student,2002-10-22,EXTC-A,EL136,B.Tech Electronics,,,,,,,,,,
USER,raj_roy3,rajroy6@college.edu,student,2005-05-28,EXTC-A,EX001,B.Tech EXTC,,,,,,,,,,
USER,komal_gupta10,komal.gupta96@college.edu,student,2004-02-06,MECH-B,ME134,B.Tech Mechanical,,,,,,,,,,
USER,kavya_gupta77,kavya.gupta35@college.edu,student,2002-08-24,CIVIL-A,CI176,B.Tech Civil,,,,,,,,,,
USER,neeraj_mukherjee26,neeraj_mukherjee69@college.edu,student,2004-11-07,CS-B,CS115,B.Tech CS,,,,,,,,,,
USER,isha_mishra54,isha_mishra78@college.edu,student,2004-10-23,MECH-B,ME065,B.Tech Mechanical,,,,,,,,,,
USER,rohan_pawar13,rohan.pawar27@college.edu,student,2004-11-17,EXTC-B,EL136,B.Tech Electronics,,,,,,,,,,
USER,varun_shah89,varunshah80@college.edu,student,2005-10-14,IT-B,IT034,B.Tech IT,,,,,,,,,,
USER,chirag_deshmukh71,chiragdeshmukh82@college.edu,student,2001-06-25,CS-B,CS048,B.Tech CS,,,,,,,,,,
USER,ananya_chowdhury41,ananya_chowdhury21@college.edu,student,2005-06-28,IT-B,IT184,B.Tech IT,,,,,,,,,,
USER,siddharth_ghosh50,siddharth.ghosh8@college.edu,student,2002-01-03,CS-B,CS010,B.Tech CS,,,,,,,,,,
USER,rishi_pillai6,rishi.pillai80@college.edu,student,2000-08-19,IT-B,EL109,B.Tech Electronics,,,,,,,,,,
USER,aditya_srivastava38,adityasrivastava3@college.edu,student,2005-04-27,CS-B,CS045,B.Tech CS,,,,,,,,,,
USER,sakshi_verma76,sakshiverma66@college.edu,student,2000-04-19,CS-A,EL074,B.Tech Electronics,,,,,,,,,,
USER,preeti_shinde79,preeti.shinde32@college.edu,student,2001-12-22,MECH-A,EL064,B.Tech Electronics,,,,,,,,,,
USER,rupal_shah37,rupal_shah69@college.edu,student,2005-10-10,CS-A,CS134,B.Tech CS,,,,,,,,,,
USER,manav_srivastava92,manav.srivastava67@college.edu,student,2002-08-13,IT-A,IT157,B.Tech IT,,,,,,,,,,
USER,prof_sakshi_arora,sakshi_arora22_t@college.edu,teacher,,,,,Information Technology,"DBMS,Software Testing,Programming,Data Analytics",22,,,,,,,
USER,prof_aparna_tiwari,aparnatiwari43_t@college.edu,teacher,,,,,Information Technology,"Cloud Computing,Programming",19,,,,,,,
USER,prof_tanvi_singh,tanvi.singh22_t@college.edu,teacher,,,,,EXTC,"Signal Processing,IoT,Digital Electronics,Microwave Engineering",6,,,,,,,
USER,prof_neha_yadav,neha.yadav89_t@college.edu,teacher,,,,,Civil Engineering,"Surveying,Transportation Engineering,Structural Analysis",25,,,,,,,
USER,prof_tushar_gill,tushar.gill57_t@college.edu,teacher,,,,,Physics,"Electromagnetism,Engineering Physics",20,,,,,,,
USER,prof_aarav_singh,aaravsingh83_t@college.edu,teacher,,,,,Electronics,"Signal Processing,Control Systems,VLSI Design,Digital Electronics",2,,,,,,,
USER,prof_kabir_srivastava,kabirsrivastava31_t@college.edu,teacher,,,,,Mathematics,"Linear Algebra,Probability & Statistics",15,,,,,,,
USER,prof_mohit_pandey,mohitpandey96_t@college.edu,teacher,,,,,Mechanical Engineering,"Thermodynamics,CAD/CAM",20,,,,,,,
USER,prof_aarav_more,aarav.more12_t@college.edu,teacher,,,,,Mathematics,"Calculus,Linear Algebra,Probability & Statistics",24,,,,,,,
USER,prof_aadhya_srivastava,aadhya.srivastava64_t@college.edu,teacher,,,,,Computer Science,"Algorithms,DBMS,Computer Networks,Machine Learning",28,,,,,,,
USER,prof_sai_kumar,sai_kumar86_t@college.edu,teacher,,,,,Civil Engineering,"Concrete Technology,Transportation Engineering,Geotechnical Engineering",26,,,,,,,
USER,prof_gaurav_nair,gaurav_nair33_t@college.edu,teacher,,,,,EXTC,"Communication Systems,Antenna Design,Signal Processing",22,,,,,,,
USER,prof_shruti_yadav,shrutiyadav87_t@college.edu,teacher,,,,,EXTC,"Digital Electronics,Microwave Engineering,Signal Processing",25,,,,,,,
USER,prof_sneha_yadav,sneha.yadav56_t@college.edu,teacher,,,,,Computer Science,"Computer Networks,Software Engineering,Machine Learning",30,,,,,,,
USER,prof_sakshi_tiwari,sakshi_tiwari70_t@college.edu,teacher,,,,,Computer Science,"Web Development,Machine Learning,Operating Systems",11,,,,,,,
USER,prof_varun_pawar,varunpawar78_t@college.edu,teacher,,,,,Information Technology,"DBMS,Cloud Computing",29,,,,,,,
USER,prof_amit_kaur,amit_kaur91_t@college.edu,teacher,,,,,Mechanical Engineering,"Thermodynamics,Fluid Mechanics,Heat Transfer",22,,,,,,,
USER,prof_piyush_chowdhury,piyush_chowdhury63_t@college.edu,teacher,,,,,Information Technology,"Web Development,DBMS,Cloud Computing",12,,,,,,,
USER,prof_riya_mukherjee,riya_mukherjee9_t@college.edu,teacher,,,,,EXTC,"IoT,Signal Processing",5,,,,,,,
USER,prof_garima_kulkarni,garima_kulkarni38_t@college.edu,teacher,,,,,Mathematics,"Linear Algebra,Numerical Methods,Calculus",3,,,,,,,
USER,prof_rahul_rao,rahul.rao69_t@college.edu,teacher,,,,,Mechanical Engineering,"Machine Design,Heat Transfer,CAD/CAM,Thermodynamics",23,,,,,,,
USER,prof_chirag_pandey,chirag_pandey24_t@college.edu,teacher,,,,,Mechanical Engineering,"Machine Design,CAD/CAM",29,,,,,,,
USER,prof_tanvi_yadav,tanviyadav20_t@college.edu,teacher,,,,,Mechanical Engineering,"CAD/CAM,Machine Design",14,,,,,,,
USER,prof_pranav_mukherjee,pranavmukherjee42_t@college.edu,teacher,,,,,Mechanical Engineering,"Heat Transfer,CAD/CAM,Thermodynamics",8,,,,,,,
USER,prof_preeti_joshi,preetijoshi52_t@college.edu,teacher,,,,,Information Technology,"Software Testing,Cloud Computing,Cyber Security",22,,,,,,,
USER,prof_aditya_kumar,adityakumar52_t@college.edu,teacher,,,,,Physics,"Optics,Engineering Physics",17,,,,,,,
USER,prof_megha_reddy,meghareddy55_t@college.edu,teacher,,,,,Mathematics,"Calculus,Discrete Mathematics,Probability & Statistics",5,,,,,,,
USER,prof_ritvik_pawar,ritvikpawar4_t@college.edu,teacher,,,,,EXTC,"Signal Processing,IoT,Communication Systems,Digital Electronics",3,,,,,,,
USER,prof_tanmay_shinde,tanmay_shinde15_t@college.edu,teacher,,,,,Information Technology,"Programming,DBMS",23,,,,,,,
USER,prof_sumit_rao,sumit.rao77_t@college.edu,teacher,,,,,Physics,"Optics,Electromagnetism,Quantum Mechanics",10,,,,,,,
USER,prof_rahul_chauhan,rahul_chauhan27_t@college.edu,teacher,,,,,Physics,"Quantum Mechanics,Engineering Physics,Optics,Electromagnetism",30,,,,,,,
USER,prof_abhishek_chowdhury,abhishek_chowdhury69_t@college.edu,teacher,,,,,Physics,"Engineering Physics,Electromagnetism",3,,,,,,,
USER,prof_pranav_mukherjee,pranav.mukherjee90_t@college.edu,teacher,,,,,Mechanical Engineering,"Fluid Mechanics,Thermodynamics,Manufacturing",18,,,,,,,
USER,prof_shalini_shah,shalinishah40_t@college.edu,teacher,,,,,EXTC,"Signal Processing,Antenna Design,IoT,Communication Systems",16,,,,,,,
USER,prof_pooja_shah,pooja_shah12_t@college.edu,teacher,,,,,EXTC,"Microwave Engineering,Antenna Design,Signal Processing",8,,,,,,,
USER,prof_diya_tiwari,diyatiwari69_t@college.edu,teacher,,,,,Mathematics,"Discrete Mathematics,Probability & Statistics,Calculus",7,,,,,,,
USER,prof_komal_arora,komalarora30_t@college.edu,teacher,,,,,EXTC,"Antenna Design,Digital Electronics,Microwave Engineering",25,,,,,,,
USER,prof_payal_chauhan,payal_chauhan63_t@college.edu,teacher,,,,,Civil Engineering,"Structural Analysis,Transportation Engineering,Surveying",12,,,,,,,
USER,prof_reyansh_thakur,reyansh.thakur99_t@college.edu,teacher,,,,,Information Technology,"Software Testing,Cyber Security,DBMS",21,,,,,,,
USER,prof_tanmay_singh,tanmay.singh98_t@college.edu,teacher,,,,,Computer Science,"Operating Systems,Algorithms,Computer Networks,Data Structures",6,,,,,,,
USER,admin_arjun7,admin1@college.edu,admin,,,,,,,,,,,,,,
USER,admin_tanmay4,admin2@college.edu,admin,,,,,,,,,,,,,,
USER,admin_rupal4,admin3@college.edu,admin,,,,,,,,,,,,,,
USER,admin_rishi5,admin4@college.edu,admin,,,,,,,,,,,,,,
USER,admin_kavya9,admin5@college.edu,admin,,,,,,,,,,,,,,
USER,admin_tanya6,admin6@college.edu,admin,,,,,,,,,,,,,,
USER,admin_ritvik4,admin7@college.edu,admin,,,,,,,,,,,,,,
USER,admin_preeti6,admin8@college.edu,admin,,,,,,,,,,,,,,
USER,admin_aditi1,admin9@college.edu,admin,,,,,,,,,,,,,,
USER,admin_mohammed9,admin10@college.edu,admin,,,,,,,,,,,,,,
QUESTION,,,student,,,,,,,,,,,,Teaching effectiveness,How effective is the teacher in delivering lectures and ensuring student understanding?,active
QUESTION,,,student,,,,,,,,,,,,Clarity of explanation,How clearly does the teacher explain concepts and topics?,active
QUESTION,,,student,,,,,,,,,,,,Availability for doubts,How available is the teacher for resolving student doubts outside of class?,active
QUESTION,,,student,,,,,,,,,,,,Course organization,"How well-organized is the course structure, including syllabus and schedule?",active
QUESTION,,,student,,,,,,,,,,,,Interaction with students,How well does the teacher interact with and engage students during class?,active
QUESTION,,,student,,,,,,,,,,,,Punctuality,How punctual is the teacher in attending and conducting classes?,active
QUESTION,,,student,,,,,,,,,,,,Use of teaching aids,"How effectively does the teacher use visual aids, slides, and digital tools?",active
QUESTION,,,student,,,,,,,,,,,,Fairness in grading,How fair and transparent is the teacher in evaluating and grading assignments?,active
QUESTION,,,student,,,,,,,,,,,,Encouraging participation,How well does the teacher encourage active participation and discussion?,active
QUESTION,,,student,,,,,,,,,,,,Knowledge of subject,How well-versed is the teacher in the subject matter?,active
QUESTION,,,student,,,,,,,,,,,,Assignment relevance,How relevant and helpful are the assignments given by the teacher?,active
QUESTION,,,student,,,,,,,,,,,,Feedback quality,How constructive and timely is the feedback provided by the teacher?,active
QUESTION,,,student,,,,,,,,,,,,Practical application,How well does the teacher relate theory to practical real-world applications?,active
QUESTION,,,student,,,,,,,,,,,,Communication skills,How effective are the teacher's overall communication skills?,active
QUESTION,,,student,,,,,,,,,,,,Lab guidance,How well does the teacher guide students during practical/lab sessions?,active
QUESTION,,,teacher,,,,,,,,,,,,Administrative support,How satisfied are you with the administrative support provided?,active
QUESTION,,,teacher,,,,,,,,,,,,Resource availability,How adequate are the teaching resources and materials available?,active
